time,H,P,T1,T2
0,50,5,1,1
0.1,50.1242,5.07572,1.1,1.1
0.2,50.2468,5.15291,1.2,1.2
0.3,50.3677,5.23159,1.3,1.3
0.4,50.487,5.31179,1.4,1.4
0.5,50.6044,5.39354,1.5,1.5
0.6,50.7201,5.47687,1.6,1.6
0.7,50.8338,5.5618,1.7,1.7
0.8,50.9456,5.64837,1.8,1.8
0.9,51.0555,5.7366,1.9,1.9
1,51.1633,5.82653,2,2
1.1,51.269,5.91819,2.1,2.1
1.2,51.3725,6.0116,2.2,2.2
1.3,51.4739,6.1068,2.3,2.3
1.4,51.5729,6.20381,2.4,2.4
1.5,51.6696,6.30268,2.5,2.5
1.6,51.7639,6.40343,2.6,2.6
1.7,51.8558,6.50609,2.7,2.7
1.8,51.9451,6.6107,2.8,2.8
1.9,52.0318,6.71728,2.9,2.9
2,52.1159,6.82587,3,3
2.1,52.1972,6.93651,3.1,3.1
2.2,52.2758,7.04922,3.2,3.2
2.3,52.3515,7.16404,3.3,3.3
2.4,52.4242,7.281,3.4,3.4
2.5,52.494,7.40013,3.5,3.5
2.6,52.5607,7.52147,3.6,3.6
2.7,52.6242,7.64505,3.7,3.7
2.8,52.6846,7.77089,3.8,3.8
2.9,52.7416,7.89904,3.9,3.9
3,52.7954,8.02953,4,4
3.1,52.8456,8.16239,4.1,4.1
3.2,52.8924,8.29764,4.2,4.2
3.3,52.9357,8.43533,4.3,4.3
3.4,52.9752,8.57547,4.4,4.4
3.5,53.0111,8.71811,4.5,4.5
3.6,53.0432,8.86328,4.6,4.6
3.7,53.0714,9.011,4.7,4.7
3.8,53.0956,9.16129,4.8,4.8
3.9,53.1159,9.3142,4.9,4.9
4,53.132,9.46975,5,5
4.1,53.144,9.62796,5.1,5.1
4.2,53.1518,9.78887,5.2,5.2
4.3,53.1552,9.95249,5.3,5.3
4.4,53.1543,10.1189,5.4,5.4
4.5,53.1489,10.288,5.5,5.5
4.6,53.139,10.4599,5.6,5.6
4.7,53.1244,10.6346,5.7,5.7
4.8,53.1052,10.8122,5.8,5.8
4.9,53.0813,10.9926,5.9,5.9
5,53.0525,11.1758,6,6
5.1,53.0189,11.362,6.1,6.1
5.2,52.9803,11.551,6.2,6.2
5.3,52.9367,11.7429,6.3,6.3
5.4,52.888,11.9378,6.4,6.4
5.5,52.8342,12.1355,6.5,6.5
5.6,52.7751,12.3362,6.6,6.6
5.7,52.7109,12.5399,6.7,6.7
5.8,52.6412,12.7464,6.8,6.8
5.9,52.5663,12.9559,6.9,6.9
6,52.4858,13.1683,7,7
6.1,52.4,13.3837,7.1,7.1
6.2,52.3085,13.602,7.2,7.2
6.3,52.2115,13.8231,7.3,7.3
6.4,52.1089,14.0472,7.4,7.4
6.5,52.0006,14.2742,7.5,7.5
6.6,51.8866,14.504,7.6,7.6
6.7,51.7669,14.7367,7.7,7.7
6.8,51.6414,14.9721,7.8,7.8
6.9,51.5101,15.2104,7.9,7.9
7,51.373,15.4514,8,8
7.1,51.2301,15.6951,8.1,8.1
7.2,51.0813,15.9415,8.2,8.2
7.3,50.9266,16.1906,8.3,8.3
7.4,50.766,16.4423,8.4,8.4
7.5,50.5995,16.6964,8.5,8.5
7.6,50.4271,16.9531,8.6,8.6
7.7,50.2489,17.2123,8.7,8.7
7.79999,50.0647,17.4738,8.8,8.8
7.89999,49.8747,17.7376,8.9,8.9
7.99999,49.6788,18.0036,9,9
8.09999,49.4771,18.2719,9.1,9.1
8.2,49.2696,18.5422,9.2,9.2
8.3,49.0563,18.8146,9.3,9.3
8.4,48.8372,19.0889,9.4,9.4
8.5,48.6124,19.365,9.5,9.5
8.6,48.3819,19.6429,9.6,9.6
8.7,48.1459,19.9225,9.7,9.7
8.8,47.9042,20.2036,9.8,9.8
8.9,47.6571,20.4862,9.9,9.9
9,47.4045,20.7702,10,10
9.1,47.1466,21.0554,10.1,10.1
9.2,46.8833,21.3417,10.2,10.2
9.3,46.6148,21.6291,10.3,10.3
9.4,46.3413,21.9173,10.4,10.4
9.5,46.0626,22.2064,10.5,10.5
9.6,45.779,22.4961,10.6,10.6
9.7,45.4906,22.7863,10.7,10.7
9.8,45.1974,23.0768,10.8,10.8
9.9,44.8996,23.3677,10.9,10.9
10,44.5972,23.6586,11,11
10.1,44.2905,23.9496,11.1,11.1
10.2,43.9794,24.2403,11.2,11.2
10.3,43.6642,24.5308,11.3,11.3
10.4,43.345,24.8208,11.4,11.4
10.5,43.0219,25.1102,11.5,11.5
10.6,42.695,25.3988,11.6,11.6
10.7,42.3645,25.6866,11.7,11.7
10.8,42.0305,25.9732,11.8,11.8
10.9,41.6932,26.2587,11.9,11.9
11,41.3527,26.5428,12,12
11.1,41.0091,26.8254,12.1,12.1
11.2,40.6627,27.1064,12.2,12.2
11.3,40.3136,27.3855,12.3,12.3
11.4,39.9619,27.6626,12.4,12.4
11.5,39.6078,27.9376,12.5,12.5
11.6,39.2515,28.2104,12.6,12.6
11.7,38.8931,28.4807,12.7,12.7
11.8,38.5328,28.7484,12.8,12.8
11.9,38.1707,29.0134,12.9,12.9
12,37.8071,29.2755,13,13
12.1,37.442,29.5347,13.1,13.1
12.2,37.0757,29.7906,13.2,13.2
12.3,36.7083,30.0433,13.3,13.3
12.4,36.34,30.2926,13.4,13.4
12.5,35.9709,30.5382,13.5,13.5
12.6,35.6013,30.7802,13.6,13.6
12.7,35.2312,31.0184,13.7,13.7
12.8,34.8608,31.2526,13.8,13.8
12.9,34.4904,31.4828,13.9,13.9
13,34.1199,31.7088,14,14
13.1,33.7497,31.9305,14.1,14.1
13.2,33.3798,32.1478,14.2,14.2
13.3,33.0105,32.3606,14.3,14.3
13.4,32.6417,32.5688,14.4,14.4
13.5,32.2738,32.7723,14.5,14.5
13.6,31.9068,32.971,14.6,14.6
13.7,31.5409,33.1649,14.7,14.7
13.8,31.1762,33.3537,14.8,14.8
13.9,30.8129,33.5376,14.9,14.9
14,30.451,33.7164,15,15
14.1,30.0908,33.8899,15.1,15.1
14.2,29.7322,34.0583,15.2,15.2
14.3,29.3755,34.2214,15.3,15.3
